Publication Number,B60K6/48,Y02T10/6221,B60K6/387,B60K6/547,B60K6/365,B60K6/405,B60K2006/4825,Y02T10/6252
EP2008854A1,1,1,1,1,0,0,1,1
DE102018117583A1,1,1,1,1,0,0,1,1
US9518622,1,1,1,0,1,0,1,1
JP5605710B2,1,1,1,0,0,0,1,1
WO2013020734A1,1,1,1,0,0,0,1,1
US10183663,1,1,1,0,0,0,1,1
US10363924,1,1,1,0,0,0,1,1
US20170267092A1,1,1,0,1,1,0,1,1
DE102014222152A1,1,1,0,1,1,0,1,1
US10427515,1,0,0,1,1,0,1,0
US20180297464A1,1,0,0,1,1,0,1,0
US20190120353A1,1,0,0,1,1,0,1,0
WO2019048468A1,1,0,0,1,1,0,1,0
DE102014222157A1,1,1,0,1,1,0,1,1
DE102015216896A1,1,0,1,1,1,0,1,0
US9186978,1,1,0,1,1,0,1,1
US9067581,1,1,0,1,1,0,1,1
US7395735,1,1,0,1,0,0,1,1
WO2013054421A1,1,1,0,1,0,0,1,1
CN105691183A,1,1,0,1,0,0,1,1
US20190054913A1,1,1,0,1,0,0,1,1
US9102327,1,1,0,1,0,0,1,1
US20190210446A1,1,0,0,1,1,0,1,0
US9890845,1,0,0,1,1,0,1,0
CN108016285A,1,0,0,1,1,0,1,0
DE102015221490A1,1,1,1,1,1,0,1,1
US6183389,1,0,1,1,1,0,0,0
DE202015004910U1,1,1,0,1,1,0,1,1
US8545365,1,1,1,1,1,0,0,0
US10408309,1,0,0,1,1,0,1,0
US20180202520A1,1,0,0,1,1,0,1,0
US20190120354A1,1,0,0,1,1,0,1,0
DE102014213908A1,1,1,1,1,1,0,0,0
US9878606,1,0,0,1,1,0,1,0
WO2019048469A1,1,0,0,1,1,0,1,0
US20190202281A1,1,0,0,1,1,0,1,0
US20190120352A1,1,0,0,1,1,0,1,0
EP2826654A4,1,1,0,1,0,0,1,1
US8845484,1,1,0,1,0,0,1,1
EP2684755B1,1,1,0,1,0,0,1,1
US8798836,1,1,0,1,0,0,1,1
US10112596,1,1,0,1,0,0,1,1
US9481251,1,1,0,1,0,0,1,1
US10300781,1,1,0,1,0,0,1,1
WO2018077333A1,1,1,0,1,0,0,1,1
US9254837,1,1,0,1,0,0,1,1
US20170008422A1,1,1,1,1,1,0,1,1
US10239513,1,0,1,1,1,0,0,0
US8506450,1,1,1,1,0,0,0,0
GB2506601A,1,1,1,1,0,0,0,0
US7559386,1,1,1,1,0,0,0,0
WO2016070871A3,1,1,1,1,0,0,0,0
US9718463,1,1,1,1,0,0,0,0
